transaction_id,date,amount,transaction_type,category,payment_method,description
TXN-051,2024-05-18,14000,debit,Staff Payroll,Bank Transfer,Monthly wages
TXN-052,2024-05-20,41800,credit,Sales Revenue,UPI,Weekend collections
TXN-053,2024-05-22,12500,debit,Inventory Purchase,Cash,Fresh produce direct purchase
TXN-054,2024-05-25,47200,credit,Sales Revenue,UPI,End of month collections
TXN-055,2024-05-28,7800,debit,Operational Expenses,Cash,Miscellaneous expenses
TXN-056,2024-06-02,46100,credit,Sales Revenue,UPI,June opening sales
TXN-057,2024-06-05,28500,credit,Delivery Payouts,Bank Transfer,Delivery platform payout
TXN-058,2024-06-08,22000,debit,Inventory Purchase,Bank Transfer,Pre-monsoon stock
TXN-059,2024-06-10,35400,credit,Sales Revenue,UPI,Regular retail sales
TXN-060,2024-06-12,8500,debit,Rent & Utilities,Bank Transfer,Monthly shop rent
TXN-061,2024-06-15,33700,credit,Sales Revenue,UPI,Mid-month collections
TXN-062,2024-06-18,14000,debit,Staff Payroll,Bank Transfer,Monthly wages
TXN-063,2024-06-20,48200,credit,Customer Inflow,UPI,Weekend high volume
TXN-064,2024-06-22,9400,debit,Supplier Settlement,Bank Transfer,Supplier settlement
TXN-065,2024-06-25,41900,credit,Sales Revenue,UPI,End of month collections
TXN-066,2024-06-28,11200,debit,Operational Expenses,Cash,Packaging & utilities
